item_number,description,tw_retail_price,tw_reseller_price,product_status,category,replacement_model,weight_kg,origin_country,search_text
TMDS20,"Snap-on 二分 12角 5/8"" 中長套筒",1025,0,Current,Snap-on 套筒系列,,0,,"TMDS20 Snap-on 二分 12角 5/8"" 中長套筒 Snap-on 套筒系列"
TMM10,"Snap-on 1/4"" Flank Drive® 10mm 六角淺套筒",800,0,Current,Snap-on 套筒系列,,0,,"TMM10 Snap-on 1/4"" Flank Drive® 10mm 六角淺套筒 Snap-on 套筒系列"
TMM12,"Snap-on 1/4"" 6角 12mm Flank Drive® 短套筒",850,0,Current,Snap-on 套筒系列,,0,,"TMM12 Snap-on 1/4"" 6角 12mm Flank Drive® 短套筒 Snap-on 套筒系列"
TMM4,"Snap-on 1/4"" 二分 6角 短套筒 4mm",0,0,Current,Snap-on 套筒系列,,0,,"TMM4 Snap-on 1/4"" 二分 6角 短套筒 4mm Snap-on 套筒系列"
TMM4-5,"Snap-on 1/4"" 二分 6角 短套筒 4.5mm",0,0,Current,Snap-on 套筒系列,,0,,"TMM4-5 Snap-on 1/4"" 二分 6角 短套筒 4.5mm Snap-on 套筒系列"
TMM7,"Snap-on 1/4"" 二分 6角 7mm 短套筒",0,0,Current,Snap-on 工具套組,,0,,"TMM7 Snap-on 1/4"" 二分 6角 7mm 短套筒 Snap-on 工具套組"
TMM8,"Snap-on 1/4"" 六角 8mm Flank Drive®淺套筒",800,0,Current,Snap-on 套筒系列,,0,,"TMM8 Snap-on 1/4"" 六角 8mm Flank Drive®淺套筒 Snap-on 套筒系列"
TMMD7,"Snap-on 1/4"" 7mm 12角 Flank Drive® 淺套筒",800,0,Current,Snap-on 套筒系列,,0,,"TMMD7 Snap-on 1/4"" 7mm 12角 Flank Drive® 淺套筒 Snap-on 套筒系列"
TMMD8,"Snap-on 1/4"" 8mm 12角 Flank Drive® 淺套筒",800,0,Current,Snap-on 套筒系列,,0,,"TMMD8 Snap-on 1/4"" 8mm 12角 Flank Drive® 淺套筒 Snap-on 套筒系列"
TMMS8,"Snap-on 1/4"" 六角 8mm Flank Drive®半深套筒",1200,0,Current,Snap-on 套筒系列,,0,,"TMMS8 Snap-on 1/4"" 六角 8mm Flank Drive®半深套筒 Snap-on 套筒系列"
TMMXS4E,"Snap-on 1/4"" 4mm六角起子套筒",900,0,Current,Snap-on 套筒系列,,0,,"TMMXS4E Snap-on 1/4"" 4mm六角起子套筒 Snap-on 套筒系列"
TMP22E,"Snap-on 二分 1/4"" #2 PHILLIPS® 標準套筒",1500,0,Current,Snap-on 套筒系列,,0,,"TMP22E Snap-on 二分 1/4"" #2 PHILLIPS® 標準套筒 Snap-on 套筒系列"
